label,z,x,y,area,mean_intensity_0,mean_intensity_1,mean_intensity_2,mean_intensity_3,cell_type,color,legend
45,6.0,28.0,649.0,3045.0,1258.6029556650246,42.127422003284074,55.45353037766832,263.03415435139567,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
46,4.0,28.0,300.0,1047.0,1290.85482330468,36.51098376313277,59.09360076408787,307.0563514804203,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
47,6.0,28.0,803.0,1392.0,1165.7852011494251,42.42600574712644,34.706178160919535,308.0897988505747,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
48,1.0,27.0,829.0,227.0,1195.964757709251,43.63876651982379,85.66519823788546,417.5374449339208,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
49,3.0,31.0,172.0,2174.0,587.1223551057957,34.52483900643974,42.07865685372585,123.25850965961362,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
50,7.0,27.0,336.0,2081.0,754.663623258049,30.846227775108122,43.76165305141759,92.65209034118212,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
51,6.0,29.0,90.0,983.0,1312.7212614445575,31.65412004069176,29.055951169888097,245.64903357070202,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
52,10.0,29.0,527.0,4075.0,1197.1460122699384,42.82306748466257,40.6039263803681,271.0294478527607,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
53,7.0,33.0,219.0,2571.0,1019.8829249319333,30.685725398677558,31.455853753403343,230.67950213924544,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
54,5.0,37.0,257.0,3280.0,512.9451219512197,35.77743902439025,47.29176829268293,115.02256097560976,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
56,2.0,33.0,733.0,720.0,1187.9944444444445,40.21805555555557,68.14027777777778,241.60972222222225,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
57,6.0,36.0,202.0,2508.0,1002.0590111642745,32.00677830940989,42.68141945773525,251.9768740031898,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
58,6.0,34.0,951.0,1646.0,972.7168894289183,36.58626974483597,32.154921020656126,304.1603888213852,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
59,15.0,32.0,8.0,5135.0,677.5129503407983,19.295618305744885,22.01927945472249,215.44303797468362,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
60,2.0,37.0,846.0,1333.0,990.1867966991748,48.1132783195799,45.54013503375844,298.5573893473368,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
61,5.0,36.0,889.0,2382.0,1053.8266162888326,38.44206549118388,39.15407220822839,311.53106633081444,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
62,11.0,40.0,747.0,2218.0,1297.6541929666364,42.21956717763751,39.50360685302074,382.17763751127137,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
63,9.0,41.0,30.0,2278.0,541.6826163301141,184.06321334503951,247.21817383669887,155.22519754170324,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
64,2.0,39.0,327.0,601.0,1484.4093178036605,38.88352745424293,76.2379367720466,261.21464226289515,1,"(1.0, 1.0, 0.7019607843137254, 1.0)",1
65,13.0,36.0,863.0,3543.0,1058.8693197854925,43.20208862545865,111.59751622918431,319.91645498165394,4,"(0.5019607843137255, 0.6941176470588235, 0.8274509803921568, 1.0)",4
